video,label
stage5-dataset\user1_original.mp4,correct
stage5-dataset\user1_mirrored.mp4,correct
stage5-dataset\user1_rotate.mp4,correct
stage5-dataset\user1_brightness.mp4,correct
stage5-dataset\user1_noise.mp4,correct
stage5-dataset\user2_original.mp4,correct
stage5-dataset\user2_mirrored.mp4,correct
stage5-dataset\user2_rotate.mp4,correct
stage5-dataset\user2_brightness.mp4,correct
stage5-dataset\user2_noise.mp4,correct
stage5-dataset\user3_original.mp4,incorrect
stage5-dataset\user3_mirrored.mp4,incorrect
stage5-dataset\user3_rotate.mp4,incorrect
stage5-dataset\user3_brightness.mp4,incorrect
stage5-dataset\user3_noise.mp4,incorrect
stage5-dataset\user4_original.mp4,correct
stage5-dataset\user4_mirrored.mp4,correct
stage5-dataset\user4_rotate.mp4,correct
stage5-dataset\user4_brightness.mp4,correct
stage5-dataset\user4_noise.mp4,correct
stage5-dataset\user5_original.mp4,correct
stage5-dataset\user5_mirrored.mp4,correct
stage5-dataset\user5_rotate.mp4,correct
stage5-dataset\user5_brightness.mp4,correct
stage5-dataset\user5_noise.mp4,correct
stage5-dataset\user6_original.mp4,correct
stage5-dataset\user6_mirrored.mp4,correct
stage5-dataset\user6_rotate.mp4,correct
stage5-dataset\user6_brightness.mp4,correct
stage5-dataset\user6_noise.mp4,correct
stage5-dataset\user7_original.mp4,correct
stage5-dataset\user7_mirrored.mp4,correct
stage5-dataset\user7_rotate.mp4,correct
stage5-dataset\user7_brightness.mp4,correct
stage5-dataset\user7_noise.mp4,correct
stage5-dataset\user8_original.mp4,incorrect
stage5-dataset\user8_mirrored.mp4,incorrect
stage5-dataset\user8_rotate.mp4,incorrect
stage5-dataset\user8_brightness.mp4,incorrect
stage5-dataset\user8_noise.mp4,incorrect
stage5-dataset\user9_original.mp4,correct
stage5-dataset\user9_mirrored.mp4,correct
stage5-dataset\user9_rotate.mp4,correct
stage5-dataset\user9_brightness.mp4,correct
stage5-dataset\user9_noise.mp4,correct
stage5-dataset\user10_original.mp4,correct
stage5-dataset\user10_mirrored.mp4,correct
stage5-dataset\user10_rotate.mp4,correct
stage5-dataset\user10_brightness.mp4,correct
stage5-dataset\user10_noise.mp4,correct
stage5-dataset\user11_original.mp4,correct
stage5-dataset\user11_mirrored.mp4,correct
stage5-dataset\user11_rotate.mp4,correct
stage5-dataset\user11_brightness.mp4,correct
stage5-dataset\user11_noise.mp4,correct
stage5-dataset\user12_original.mp4,correct
stage5-dataset\user12_mirrored.mp4,correct
stage5-dataset\user12_rotate.mp4,correct
stage5-dataset\user12_brightness.mp4,correct
stage5-dataset\user12_noise.mp4,correct
stage5-dataset\user13_original.mp4,incorrect
stage5-dataset\user13_mirrored.mp4,incorrect
stage5-dataset\user13_rotate.mp4,incorrect
stage5-dataset\user13_brightness.mp4,incorrect
stage5-dataset\user13_noise.mp4,incorrect
stage5-dataset\user14_original.mp4,incorrect
stage5-dataset\user14_mirrored.mp4,incorrect
stage5-dataset\user14_rotate.mp4,incorrect
stage5-dataset\user14_brightness.mp4,incorrect
stage5-dataset\user14_noise.mp4,incorrect
stage5-dataset\user17_original.mp4,correct
stage5-dataset\user17_mirrored.mp4,correct
stage5-dataset\user17_rotate.mp4,correct
stage5-dataset\user17_brightness.mp4,correct
stage5-dataset\user17_noise.mp4,correct
stage5-dataset\user19_original.mp4,correct
stage5-dataset\user19_mirrored.mp4,correct
stage5-dataset\user19_rotate.mp4,correct
stage5-dataset\user19_brightness.mp4,correct
stage5-dataset\user19_noise.mp4,correct
stage5-dataset\user20_original.mp4,correct
stage5-dataset\user20_mirrored.mp4,correct
stage5-dataset\user20_rotate.mp4,correct
stage5-dataset\user20_brightness.mp4,correct
stage5-dataset\user20_noise.mp4,correct
stage5-dataset\user21_original.mp4,correct
stage5-dataset\user21_mirrored.mp4,correct
stage5-dataset\user21_rotate.mp4,correct
stage5-dataset\user21_brightness.mp4,correct
stage5-dataset\user21_noise.mp4,correct
stage5-dataset\user22_original.mp4,incorrect
stage5-dataset\user22_mirrored.mp4,incorrect
stage5-dataset\user22_rotate.mp4,incorrect
stage5-dataset\user22_brightness.mp4,incorrect
stage5-dataset\user22_noise.mp4,incorrect
stage5-dataset\user23_original.mp4,correct
stage5-dataset\user23_mirrored.mp4,correct
stage5-dataset\user23_rotate.mp4,correct
stage5-dataset\user23_brightness.mp4,correct
stage5-dataset\user23_noise.mp4,correct
stage5-dataset\user102_original.mp4,correct
stage5-dataset\user102_mirrored.mp4,correct
stage5-dataset\user102_rotate.mp4,correct
stage5-dataset\user102_brightness.mp4,correct
stage5-dataset\user102_noise.mp4,correct
stage5-dataset\user103_original.mp4,correct
stage5-dataset\user103_mirrored.mp4,correct
stage5-dataset\user103_rotate.mp4,correct
stage5-dataset\user103_brightness.mp4,correct
stage5-dataset\user103_noise.mp4,correct
