video,label
stage4/user1.mp4,incorrect
stage4/user2.mp4,correct
stage4/user3.mp4,correct
stage4/user4.mp4,correct
stage4/user5.mp4,correct
stage4/user6.mp4,correct
stage4/user7.mp4,incorrect
stage4/user8.mp4,correct
stage4/user9.mp4,correct
stage4/user10.mp4,correct
stage4/user11.mp4,correct
stage4/user12.mp4,incorrect
stage4/user13.mp4,incorrect
stage4/user14.mp4,correct
stage4/user17.mp4,incorrect
stage4/user19.mp4,correct
stage4/user20.mp4,correct
stage4/user21.mp4,incorrect
stage4/user22.mp4,correct
stage4/user23.mp4,correct
stage4/user100.mp4,correct
stage4/user102.mp4,correct
stage4/user103.mp4,correct
